date,user,text,label
2021-07-18 11:34:38+00:00,123gunawanqq,Menurut penelitian ahli virus dari jepang Virus corona adalah buatan manusia. Negara pembuatnya adalah usa . presiden bush pernah bilang akan ada virus covid 19 . Padahal waktu itu th 2005.trus bilgate punya cita cita ngurangi penduduk dunia.usa memang bangsa iblis.dajal,Hoaks
2021-07-15 19:07:58+00:00,wicketkeepin,"Baca cerita kalo China mengecam pengusutan asal usul virus Corona, makin yakin bahwa virus yang 'katanya' berasal dr hewan ini memang virus buatan manusia yang dibuat mampu menjalar ke manusia.",Hoaks
2020-09-24 06:27:57+00:00,nesiarsy,"Kenapa ya orang Indo bikin teori konspirasi mengenai virus corona itu ada atau engga, harusnya kan yang dibahas mengenai konspirasi ini virus buatan manusia atau murni dari hewan liar.",Hoaks
2020-09-21 07:30:27+00:00,ngopotdotcom,"Aku percaya ada virus corona, cuma aku lebih percaya virus corona itu buatan manusia yang disengaja, untuk apa ya gitu deh",Hoaks
2020-08-18 14:40:44+00:00,KarnoRembo,"Klo monopoli virus Corona buatan China anggap saja kebocoran virus biar menyebar virus ke manusia supaya negara beli vaksin virus mahal.jadi Indonesia harus pintar jadi berguna ciptakan vaksin menyembuhkan dan kekebalan virus untk selamatin Indonesia ga di jajah Kesehatan,ekonomi",Hoaks
2020-08-14 17:13:08+00:00,shukriraaazali,"""corona virus"" ""virus biasa yang menyebabkan masalah pernafasan"" ""kadar kematian adalah 20% tetapi ada individu yang sengaja meningkatkan kadar kematian sehingga 90%"" ""masa pengeraman 2-14 hari tetapi boleh dimanipulasikan untuk menyerang dalam masa 5minit"" ""virus buatan manusia""",Hoaks
2020-07-23 05:59:27+00:00,Lautan_Hati_,"Kalian Yg Katakan, Virus Corona Adalah ""KONSPIRASI"" or ""BUATAN"" China PKC, Aku Katakan, Kalian Tdk Waras Lagi. Jika Virus Ini, Buatan Manusia, Lebih Dari Dua Ratusan Negara Di Dunia Mengalami Pandemi Ini. PIKIR! Fitnah, Tuduh, Terhadap Negara China/PKC, Tdk Masuk Akal Sehat.",NonHoaks
2020-07-08 14:08:01+00:00,yfavoritesin,Tadi nyokap cerita kalau ada tamu dirumah barusan. Terus diceritain sesuatu tentang corona. bla bla bla... terus endingnya sitamu bilang “..corona itu sebenarnya hanya buatan manusia yang merupakan campuran virus SAR dan HIV.”,Hoaks
2020-05-30 23:43:39+00:00,DoniWorabai,"Tidak bisa berfikir bgm Corona_Virus bisa menyebar luas sampai ke penjuru dunia dan merenggut Jutaan Jiwa Manusia yg tergeletak begitu saja, semua orang sangat takut akan Covid_19 dan Kapan Corona_Virus mengakhiri perjalanannya ..?? #CoronaJahat #CoronaSadis #Cor_Virus_Buatan_Mc",Hoaks
2020-05-30 11:30:10+00:00,culturekdyie,"pernah kepikiran ga? virus corona kan virus yang kecil tapi kek serasa di besar"" in gitu,terus tuh apa virus ini buatan manusia?yang nantinya kalo virus udah kesebar di mana mana,waktu ketemu vaksinnya pasti harus beli dong?kayak seakan""morot uang pemerintah,kek politik gt anjir",Hoaks
2020-05-28 17:18:40+00:00,anggiwips,"Kalo pun emg bener virus corona ini buatan manusia, bener2 jahat jahanam bgt yaAllah",Hoaks
2020-05-27 05:37:26+00:00,lisnafull,"gw sebel nih sama orang yang cuma baca2 berita hoax dr grup-grup whatsapp, trs dengan santainya bilang, ""gak usah takut lah sama virus corona, ini kan cuma virus buatan manusia utk senjata biologis""",NonHoaks
2020-05-18 21:31:30+00:00,fahripaay,yang seru perbincangan orang dikampungan gua ialah virus corona itu buatan manusia atau alami .gaada yg benar atau salah karena gaada yg tau .dan ini bukan cari mana yang benar atau salah .cuma sharing2 aja sambil ketawa .seruuuuu,Hoaks
2020-05-10 14:54:47+00:00,SAM7id,"seandainya, corona ini adalah buatan manusia... gak mbayangno dusone sing nggawe virus iku, sak dunyo kenek imbas e...",Hoaks
2020-05-08 12:08:56+00:00,ratriganjaraaa,"Sumpah kl virus corona bener bener buatan manusia, yg bikin jahat bgt udah ngorbanin nyawa banyak bgtt.",Hoaks
2020-05-07 14:50:16+00:00,aryati_evi,Sebenarnya Corona ini konspirasi virus buatan manusia atau murni virus dr hewan ke manusia sih?? Atau apa sih. Dan kapan ini berakhir??? #coronavirus #konspirasi #bosen,Hoaks
2020-05-07 14:33:35+00:00,AndikCupri,"Bayangkan bahwa pandemi saat ini bukanlah akibat Virus Corona, melainkan sebuah Konspirasi pihak tertentu demi keuntungan sepihak. Dan alat2 deteksi Covid-19 buatan China adl rekayasa imunitas manusia yg melemah akibat ketakutan oleh media yg setiap hari update virus mematikan.",Hoaks
2020-05-01 04:18:01+00:00,KholidZaifullah,Trump Kukuh Virus Corona Buatan Manusia,NonHoaks
2021-05-01 09:10:22+00:00,Andara56641777,"Iya tau, kita nih udah lama kejebak pandemi. Udah setaun lebih. Tapi bisa ga, gausah menggiring opini corona tuh buatan manusia? Apalagi sampe bilang bisnis nya jkw 😂 ini virus mendunia loh anjir kesel banget gua",NonHoaks
2020-04-30 13:35:36+00:00,_AdityaP,Aku ggaa percaya Virus Corona itu hasil manipulasi atau buatan manusia. Terlalu perfect dia untuk menjadi buatan manusia.,NonHoaks
2020-04-29 20:51:07+00:00,POG_94,"Nah mari bersepakat elit global ini nyata, virus corona buatan manusia, NWO makin deket dan lain sebagainya. Terus cara ngelawannya gimana? Kan katanya elit global jumlahnya cuma 1% dari penduduk bumi, ya sekitar 70.000.000.000 orang. Masih banyakan warga +62 lah. Masa sulit?",Hoaks
2020-04-29 19:00:15+00:00,musimhantu,"Emang udah curiga sih dari thread2 yang udah dibaca , kalo corona ini virus buatan manusia. tujuannya apa? ya kekuasaan. Obatnya kok susah? obatnya udah ada, kenapa gak disebarin? tinggal nunggu waktu saja. karena yang buat sudah blunder.",Hoaks
2020-04-28 20:57:04+00:00,hellosiska_,"Semakin hari banyak berita, membaca, memahami, dan ataupun mempelajari tentang corona, ujungnya jatuh pada ketertarikan satu kata yaitu ""konspirasi"". Haduh saya jadi gimana, yang vaksin ada microchipnya lah, virus buatan lah buat ngurangin populasi manusia, dll.",Hoaks
2020-04-27 07:11:33+00:00,Budyendyanto,"Kalo Virus Covid 19 bukan buatan manusia , jawabnya hny satu Tanda""kiamat ! Ttp sy yakin Corona buatan orang"" berexperimen Virus. Kalo tanda"" kiamat manusia tdk akan selamat terkena wabah...!",Hoaks
2020-04-23 11:50:32+00:00,annisacamss,Kalo emang virus corona buatan manusia. Tuh manusia terlucknut bikin orng ngga bs ibadah!,Hoaks
2020-04-19 18:06:33+00:00,Budyendyanto,"Sy yakin Corona Virus buatan manusia"" dajal...😟",Hoaks
